Parameter,Perturbation,Antag_Lag,Collapse_Lag
r,+10%,94.0,121.4
r,-10%,87.9,110.30000000000001
alpha,+10%,83.5,103.5
alpha,-10%,100.0,131.9
beta,+10%,90.10000000000002,119.60000000000002
beta,-10%,92.10000000000002,112.80000000000001
k,+10%,82.9,102.80000000000001
k,-10%,100.70000000000002,132.70000000000002
r,+30%,99.10000000000002,130.8
r,-30%,80.4,97.20000000000002
alpha,+30%,71.20000000000002,84.5
alpha,-30%,123.5,181.40000000000003
beta,+30%,88.20000000000002,127.30000000000001
beta,-30%,94.20000000000002,106.70000000000002
k,+30%,99.4,82.70000000000002
k,-30%,126.0,183.8
