Sample,r,alpha,beta,k,Antag_Lag,Collapse_Lag
1,0.008661258320887879,0.00851410718942231,0.0032087945476302645,0.023989622804537283,77.60000000000002,95.5
2,0.008071250329194578,0.006725987670756456,0.0026022752509513793,0.025859571258966794,89.10000000000002,105.10000000000002
3,0.009273010531706661,0.007968163300041102,0.0025685260448662225,0.02658466986661234,77.60000000000002,88.70000000000002
4,0.009897595130161136,0.006852762999026121,0.0027136424704863908,0.021086997523875505,113.5,147.4
5,0.008471454055990752,0.007555701971172535,0.0029387505167779043,0.021840691689984315,95.10000000000002,119.70000000000002
6,0.009302002815750424,0.0066888611864670934,0.0028129301836816965,0.022365869284622905,107.30000000000001,138.60000000000002
7,0.008881388957385996,0.00814164591313428,0.0027297064039425237,0.023399498724511147,85.0,100.9
8,0.009249519335927514,0.006479513428619994,0.0030967903667112944,0.020996963624574167,115.30000000000001,161.0
9,0.007825639301060254,0.008509992458819999,0.003419068829767103,0.025455697463334065,69.9,85.70000000000002
10,0.008472457176768101,0.006594762256514363,0.0031658097238609407,0.022881665931239813,101.70000000000002,136.10000000000002
11,0.007979503234080901,0.007489148047750358,0.0025809496690036965,0.026161149610530687,79.4,90.70000000000002
12,0.008348705950320045,0.007865675139796458,0.00283053996848047,0.023440275468032897,85.5,102.70000000000002
13,0.009126117754226854,0.006790922524932436,0.0034226261649881024,0.02522317843529419,91.9,123.5
14,0.010186647142223308,0.00838836153846221,0.003088109980929976,0.026248900902811585,76.0,92.5
15,0.007888929755540182,0.006815961440443076,0.002590704560019484,0.022079059012035218,101.9,124.4
16,0.0086994286821616,0.006985535321491265,0.0032958637582367364,0.02229870575358819,99.5,134.70000000000002
17,0.008408523176155926,0.007596066187106058,0.002676831802477286,0.025412356895470736,82.0,95.70000000000002
18,0.00785128673793538,0.008595495607351162,0.0032450202923669917,0.021194022613923866,84.10000000000002,105.80000000000001
19,0.007664909716233725,0.008209788214023376,0.003186171609462855,0.0249007601046065,74.10000000000002,89.4
20,0.009732429936052053,0.006541600466401703,0.002872619155689845,0.020614924726080657,119.20000000000002,162.2
21,0.009980379249864101,0.007777420785362005,0.0028478082223673843,0.020249272868499306,105.30000000000001,135.70000000000002
22,0.008489652268632287,0.007106662474560181,0.0032066455605042573,0.024261526724772938,90.0,115.9
23,0.01004547440495608,0.007437483581614386,0.0026576348213444715,0.024790581062688735,91.10000000000002,109.80000000000001
24,0.00970411963126562,0.0076378736945313655,0.0032438704619591045,0.023256631218587093,91.80000000000001,119.9
25,0.009061378639331381,0.007336967291306736,0.0025728772140696855,0.020559161074683197,107.10000000000002,132.8
26,0.007734858801354182,0.0078069234253435055,0.002832920382968694,0.023359909131241273,84.10000000000002,100.4
27,0.01010042947960045,0.006935907515584968,0.0029193446307320668,0.02508630245841591,95.30000000000001,120.80000000000001
28,0.008267755046827379,0.006548204797114784,0.002810776307622391,0.02093193679790549,111.70000000000002,145.9
29,0.010160183661324946,0.008193270854019937,0.003120063380859381,0.02589650952541215,78.70000000000002,97.0
30,0.009819914607627609,0.00679478263249358,0.0033533030986409797,0.023575002270990398,100.60000000000002,138.5
31,0.009830088418942968,0.00839120542482786,0.0028362031274746773,0.020574262952448463,96.5,120.60000000000002
32,0.008265424938863241,0.0073359925244090764,0.0032862132893302434,0.025821506776961843,81.20000000000002,102.4
33,0.007668770752434214,0.007524181430799522,0.002925669902833901,0.021357533595190405,94.30000000000001,117.80000000000001
34,0.007973636491800943,0.007134634135658163,0.003398618733521267,0.02206418849482508,95.5,128.8
35,0.009050734678707088,0.007956792657514148,0.0028772666421413647,0.026597756758219515,76.30000000000001,90.10000000000002
36,0.0102486076963437,0.006941510165607069,0.0029975236553031466,0.02190813938561922,108.5,145.10000000000002
37,0.008419069334819161,0.006457995631547698,0.0030986079005819074,0.02331872637236974,101.80000000000001,134.9
38,0.00778899262837497,0.007001954544532374,0.0033674392973699883,0.02147953761576214,98.80000000000001,134.4
39,0.008041216154646301,0.007476268710624516,0.0034370854086995407,0.02149696634786539,94.10000000000002,126.80000000000001
40,0.00946476597799587,0.008088644134489613,0.00276387378959316,0.0248952322767969,81.9,97.20000000000002
41,0.008643014458341982,0.007797688118835553,0.003120176739684805,0.023550065041682562,85.9,107.70000000000002
42,0.007893782379146902,0.008254430615075784,0.0028387020584745622,0.021108764387694982,89.0,107.80000000000001
43,0.007760092882197861,0.007704509122173544,0.0031598079256580543,0.019920948924205716,98.20000000000002,128.60000000000002
44,0.009032651257408058,0.00688461549419536,0.003130655511368505,0.02102382133874489,108.4,147.9
45,0.009515531892876657,0.007245154529176209,0.0033930569898630606,0.020766271399580493,105.70000000000002,149.0
46,0.008570879147835697,0.006630315422791325,0.003382224256450706,0.025937602080133057,89.5,118.4
47,0.008346442394830919,0.007859964103576903,0.003285499980181094,0.02368585367308024,83.4,105.70000000000002
48,0.009080056561561217,0.006919167654526016,0.002633792491025309,0.026076538148093752,89.60000000000002,106.9
49,0.010081128754340992,0.0077994782788648525,0.0028551268119438307,0.0222459749265425,96.4,121.10000000000002
50,0.009610080332949645,0.008393498084893298,0.0033483777818386056,0.02525633006554479,76.9,96.70000000000002
51,0.009383485444616575,0.006564314921238859,0.0026954658426851523,0.026085893777804285,94.80000000000001,116.10000000000002
52,0.009287358461080891,0.006395693366137416,0.002641324388579429,0.024442877366065312,103.20000000000002,128.4
53,0.00766366627638479,0.006736818115689371,0.0030438604104299277,0.024641347431871925,90.20000000000002,113.30000000000001
54,0.00941029540065702,0.006879605946286259,0.003190961299212782,0.021463371121602633,107.70000000000002,148.0
55,0.008528579185030022,0.008054605661515554,0.0031346696091424935,0.025741071639354306,75.80000000000001,92.0
56,0.009425554809210927,0.0076536943575048096,0.002634307291045283,0.02237533346338544,96.10000000000002,116.80000000000001
57,0.008366046392740658,0.006923976697602938,0.0034257094992772006,0.022552753095420656,97.5,133.5
58,0.010058525698978204,0.00779506190849384,0.0032653301731874833,0.023318433280805292,90.9,118.80000000000001
59,0.009207640488491169,0.007483164811092444,0.00272571868901824,0.02485494028567792,87.60000000000002,105.0
60,0.00840808537859031,0.006429710924470771,0.0031309250663164507,0.021043003649055272,112.10000000000002,155.20000000000002
61,0.010189238177752868,0.00852133929825582,0.0033733779511984038,0.022392409314785557,87.20000000000002,113.9
62,0.007691732864627942,0.008463716765822383,0.0029353657334855827,0.026561917185115247,67.80000000000001,77.70000000000002
63,0.010251773938140982,0.008294271274801559,0.002815004002862627,0.022496833122927457,90.70000000000002,111.4
64,0.009948069013095513,0.007088074511601624,0.0027025434720174832,0.02369704082458387,99.0,122.80000000000001
65,0.010177617890234107,0.007941067042518688,0.0030630550530804284,0.020484263691457675,102.10000000000002,134.60000000000002
66,0.009310519512087757,0.008602621162734593,0.0026760756137128713,0.023428124270022516,82.0,96.0
67,0.01001890729420548,0.00804172938994696,0.0031773141668957412,0.024715363747069893,83.5,105.20000000000002
68,0.008620626108293339,0.007035581649595109,0.0032784250399306623,0.02546769262880747,86.80000000000001,111.9
69,0.009991095260166278,0.00842979124325206,0.003010208158974844,0.023310598899863522,85.0,105.20000000000002
70,0.009805396983210292,0.00783741884424997,0.0031817701895319327,0.025367590759358342,82.70000000000002,104.0
71,0.010053014422907427,0.0071354891029159545,0.0028880246573759496,0.020461933759487672,112.5,149.70000000000002
72,0.009211356380689668,0.006455870116042669,0.002969038216319214,0.023598085996605962,104.30000000000001,136.9
73,0.008423661380746367,0.007704374836280273,0.0025774502249451443,0.02006606383935701,102.5,125.0
74,0.009871021513781077,0.0071854289431753406,0.002664354461386696,0.02345548038778308,98.60000000000002,121.5
75,0.009728982593366249,0.0068605973118678965,0.0031106014282371005,0.020401578780306438,114.5,159.60000000000002
76,0.007789540647155239,0.007570547921028332,0.003036571609449096,0.024260635011472464,82.9,101.4
77,0.009610446601051184,0.008570667178790703,0.003014670313471076,0.02206246574585931,87.30000000000001,108.60000000000002
78,0.009797002725875498,0.0069843725653396665,0.0029450742786350727,0.02035341010558244,114.0,153.9
79,0.007718447007221735,0.00854095893302533,0.003302382108460985,0.02466985970059495,71.9,87.4
80,0.008754172949918527,0.0067649122201594025,0.0026907933384039775,0.02155419785817052,108.20000000000002,137.3
81,0.009132911994706524,0.007982840826075139,0.003144177639045958,0.02176173793965214,92.5,119.0
82,0.010228136257790623,0.008035268062565479,0.0030489186472602604,0.02408092801617812,86.70000000000002,108.5
83,0.008782920168555032,0.006932394726377604,0.0028703754107861352,0.02510234431214594,91.10000000000002,112.5
84,0.00768886241930034,0.00663616344114056,0.0025914023778195773,0.0200896943282096,112.9,142.4
85,0.009959743576829718,0.007958230183605053,0.0029767564461785924,0.0204888607829505,101.5,131.70000000000002
86,0.008977362862815445,0.007440311484256273,0.0027058816829190137,0.02283762302817343,94.9,115.9
87,0.008725962782872907,0.0077606627206174865,0.0031215842857808796,0.020121675028306592,100.70000000000002,132.70000000000002
88,0.008661454059491471,0.007783184810357032,0.0030028226327220788,0.02579186398990637,78.9,95.20000000000002
89,0.00942847280537115,0.006741602460933216,0.002613511872660387,0.024295510754662145,99.60000000000002,122.20000000000002
90,0.0077215805384623784,0.007692995057865292,0.0033962072172824616,0.023827564503352397,81.9,104.70000000000002
91,0.008698058800757608,0.007822398491495294,0.0029624276014423648,0.023618861357318388,86.10000000000002,105.70000000000002
92,0.010191954983696617,0.007243730935051741,0.0034150715074415224,0.026133400987272886,86.9,114.70000000000002
