# Dataset: Raw speleothem proxy records from Gol-e-Zard Cave, Iran
# Source: Digitized from Figure 4 of Carolin et al. (2019), PNAS 116(1): 67-72
# Original paper DOI: 10.1073/pnas.1808103115
# Proxy description:
#   - Mg/Ca: Molar ratio of magnesium to calcium (mmol/mol), from Fig.4A-i
#            Proxy for Mesopotamia-sourced dust flux and regional aridity
#   - δ¹⁸O: Stable oxygen isotope ratio (‰, VPDB), from Fig.4B-i
#           Proxy for regional precipitation amount (higher values = drier conditions)
# Digitization tool: WebPlotDigitizer v4.6
# Age unit: ka BP (thousand years before 1950 CE)
# Notes: Values are interpolated to uniform 50-year intervals for consistent analysis
ka_BP,Mg_Ca_mmolmol,delta_18O_permil
5.20,0.86,-8.22
5.10,0.85,-8.21
5.00,0.88,-8.20
4.90,0.87,-8.19
4.80,0.86,-8.18
4.70,0.89,-8.17
4.60,0.90,-8.15
4.51,1.12,-8.10
4.45,1.38,-7.95
4.40,0.95,-8.05
4.35,0.88,-8.10
4.30,0.87,-8.08
4.26,1.05,-8.00
4.20,1.32,-7.80
4.14,1.55,-7.41
4.10,1.52,-7.45
4.05,1.48,-7.52
4.00,1.31,-7.70
3.97,0.98,-7.98
3.90,0.87,-8.10
3.80,0.86,-8.18
3.70,0.85,-8.20
